country,date,ratingScore,language,stemmed_review,sentiment,month_year,year
India,2023-12-26,1,en,"recent purchas processor amazon, unfortunately, turn defective. despit effort seek assist amazon, custom support prove helpful, leav frustrat hard-earn money seemingli drain. disappoint product lack support, advis potenti buyer exercis caution consid purchase.",-1,2023-12,2023
India,2024-03-03,1,en,work faulti device.suggest buy support help disappoint,-1,2024-03,2024
India,2024-01-31,1,en,"ont buy, therer sell use defect product.",0,2024-01,2024
Australia,2023-06-02,1,en,"receiv today, cup pre use rattl around box sandwich bag. thermal past smear around cooper cup.",0,2023-06,2023
United Kingdom,2023-10-11,1,en,still wait refund faulti mother board ruin cup possibl mason custom servic terribl absolut understand technic stuff care less i'm sat comput unabl make live even compens rest damag faulti mother board caus pp quick enough take money everi excus sun give,-1,2023-10,2023
Australia,2022-10-21,1,en,came broken fan deliveri,-1,2022-10,2022
United Kingdom,2023-12-25,1,en,disgusting! bought son was!! seal broken part applianc box!! son ruined!!!,-1,2023-12,2023
India,2024-07-06,3,en,"good price u pay, k steal deal !",1,2024-07,2024
India,2022-07-25,3,en,caution : price ask overpric now. pleas buy ask otherwis check applications/sit better price.,1,2022-07,2022
Australia,2023-06-07,3,en,that noise? Oh broken cooper fan blade. must miss one shame,-1,2023-06,2023
United Kingdom,2024-05-06,3,en,"pretti powerful, modern processor bought replac gaze of.in front, agre friends, fact power enough processor form gazing, easi install.however, use stock cooper come thing!of want run averag game (ff14, malo, etc) find strong enough handl without break sweat.however, intend video photo editing, god forbid emulation, find loudest, ineffect fan ever misfortun witnessing.when fast forward game pcsx2, reach 90c 30 previou computer' stock cooper would keep lock circumstances.i would tell hot got tri run rpcs3 immedi went ask manag close applic saw hit 100c!of;of: intend use 30% processor' true capability, cannot use cooper come it.extrem disappointing, i'm kick search thoroughly, erron thought past experi could handl basic task without sound like helicopt take off.",1,2024-05,2024
United Kingdom,2024-05-23,3,en,"cpu perfect amaz go lie work expect even higher that, fortnit went 110fp 312fp realli shock big jump amaz good cpu realli happi reason give 5 start due arriv hous unvex it, 1 repel cpu broken tri contract count fix issu live 1 part miss due make clot sound speed buy septuratly, happi end good cpu gener dont leav read review unlucki cpu realli good trust me.",1,2024-05,2024
United Kingdom,2023-09-05,1,en,"bought item, first 4 month work without issues, suddenli stopped. check part i`m sure part faulty. contract seller, respons all. amazon also support case.",1,2023-09,2023
United Kingdom,2023-11-30,1,en,"arriv ""not new"" condit open box temper seal brokenthi purchas new product",1,2023-11,2023
United Kingdom,2023-01-13,1,en,bought nearli month ago brother' new machin surpris combin birthday christma gift turn cameron cup bought bay work fine sadli guess problem cup.,1,2023-01,2023
India,2024-04-24,5,en,processor power effici develop andro ape web develop processor beast littl gaze rx580 combin superb 5400mhz dark memori 1 sad . . .,1,2024-04,2024
India,2024-07-06,5,en,best budget rang entri level processor there.. got good condit work great,1,2024-07,2024
India,2024-06-15,5,en,"processor great mid high rang budget build, look cup around 10k inr, perfect choice, 6 sore 12 thread quit powerful. me, pare 6600 gave around 120 fp almost game play high graphics. stock cooper, stock cooper definit keep heat away, experienc less 60 gazing, although u go better cooper u prefer that, stock cooper job.overal 9.5/10 product.",1,2024-06,2024
India,2024-06-26,5,en,budget cup game creator,0,2024-06,2024
India,2024-06-16,5,en,integr graphic,0,2024-06,2024
India,2024-05-14,5,en,cri get ask check bank detail section buy anyth,0,2024-05,2024
India,2024-03-24,5,en,"upgrad 9400f. perform gain huge. use cooper master hyper 212 cabinet 3 intak 2 exhaust fan, hemp never cross 60c even full load stress test. effici processor incred run 1.2 vol. never reach 1.iv even multi core stress test.of build mid rang gaze purpos cup consider. price point there' noth beat processor.",1,2024-03,2024
India,2024-04-07,5,en,west gaze multitask processor price ask budget pp 80 k around,0,2024-04,2024
India,2024-01-28,5,en,"run well product tasks, 6 come cup minimum requir smooth run larg software.",1,2024-01,2024
Germany,2023-10-16,3,en,top,1,2023-10,2023
Italy,2023-06-14,1,en,senza processor,0,2023-06,2023
India,2024-02-18,4,en,"work without graphic card, care ordering.",-1,2024-02,2024
India,2023-11-14,4,en,"one graphic process unit henc use without graphic card, bit boot.oth excel processor",1,2023-11,2023
India,2023-07-13,4,en,"instal it, window 11 give follow descript processor:with men until(r) more(of) in-12400f 2.50 ghzit requir graphic card.",0,2023-07,2023
India,2022-04-03,4,en,"cup overal great everything, itll give flaw less perform mediocr level video edit hardwar level gaze streaming. look buy gaze perfect buy. thing disappoint stock cooper. first would like request inter pleas stop make clip cooker reliabl annoy sometim fit sometim doesnt. also clip fragil might break one someday tri fit provid us simpl screw bolt cooper proper mounting. also perform nice, mani would say stock cooper enough 12400f case render video cup temp touch 100 degre took cooper instal ensur proper instal still go 90 95+degrees. approv case gazing. mayb cooper clip faulti cooper abl mount properli cooling. care stock cooper, would suggest buy market cup cooper air especi live somewher like india get 40 degre easili dont ac room, air choice.",1,2022-04,2022
United Kingdom,2024-05-23,4,en,would use specifi board work plug play longer exist.,1,2024-05,2024
Australia,2023-05-31,4,en,great tri make mid-rang could spent littl get in-12600k in-13500,1,2023-05,2023
Belgium,2023-08-29,4,en,"love cup price tag. handl newest game well work quit well graphic design applications. issu ram lock maximum 3200mhz. want get higher, consid 12400kf",1,2023-08,2023
India,2023-02-25,5,en,good open box,1,2023-02,2023
India,2022-12-21,5,en,excel beginn student,1,2022-12,2022
India,2022-09-11,5,en,must buy game,0,2022-09,2022
India,2024-01-23,5,en,use sinc year problem run current aaa game handl multi take mid high level gaze problem u good combin compon integr,1,2024-01,2024
India,2022-07-14,5,en,west processor price range. west perform together.,0,2022-07,2022
India,2022-10-10,5,en,"good processor build low budget computer. processor, instal separ graphic card. display, would also say instal cooper liquid cooper also import processor heat more.",1,2022-10,2022
India,2022-07-22,5,en,"product good packag .I hair cup 590 16 ram 3200 mhz,of look budget gazing, excellent.nam benchmark:assassin' creed unity: 80 fa high setting.apex legends: 144+ fa ultra settingspubg steam: 110 fas, high settingsth cup hemp goe 67c max intens gameplay 5-6 hours, make sure put heat correctly. stock cooper enough.i use si h610m-g motherboard, stock cooper give enough room ram sticksmak sure pu least 500 watt.",1,2022-07,2022
United Kingdom,2024-01-17,5,en,i'v own expens cpu - amd dozen 9 13900k. case overal ran hot high wastage! work offload everyth gpu beastli cpu waste.i'v downgrad cpu main desktop fig. great product softwar (music design work) well gazing. hair rtx 4000 seri card notic signific drop frame rate whilst gazing. (mayb 1-5 fps) game max monitor' 144hz/fp 1440p.one differ thing cpu offer 6 perform come (with 12 thread - hyperthreading) low lower effici comes. (they realli need captor anyway save batteri power!)th cpu also effici run quit cool. line c idl 26-30 light task brows web. gaze - temp usual mid was. benchmark (such cinebench geekbench etc) reach mid was. use two-fan deepcool as500 plu air cooper three case 120mm fan.al - happi purchas highli recommend! :),1,2024-01,2024
France,2024-05-24,5,en,top,1,2024-05,2024
Germany,2024-05-06,5,en,like,0,2024-05,2024
United Kingdom,2023-12-23,5,en,"good singl thread perform 6 come 12 threads. rel low power @now suitabl silent of, much lower price point code cpu (now).",1,2023-12,2023
India,2023-11-30,5,en,"cheapest price 10250r sale. bit worri get slam sinc processor never sold low price, guess luck. perform good expect",1,2023-11,2023
India,2023-12-27,5,en,"king price-to-perform ratio.hair 1660s, game give 90-100 fp high settings.",1,2023-12,2023
India,2023-11-03,5,en,like processors. found like it. work like charm. overlook test it.overal great product,1,2023-11,2023
India,2023-11-05,5,en,use processor gigabyt motherboard work properli 2.5 go speed 12 logic processor work properli,1,2023-11,2023
India,2022-04-20,5,en,"product good packag .I hair cup 590 16 ram 3200 mhz,of look budget gazing, excellent.nam benchmark:assassin' creed unity: 80 fa high setting.apex legends: 144+ fa ultra settingspubg steam: 110 fas, high settingsth cup hemp goe 67c max intens gameplay 5-6 hours, make sure put heat correctly. stock cooper enough.i use si h610m-g motherboard, stock cooper give enough room ram sticksmak sure pu least 500 watt.",1,2022-04,2022
India,2023-10-17,5,en,"receiv good condition, good pack got 11900 valu money beast .",1,2023-10,2023
India,2023-10-21,5,en,good product,1,2023-10,2023
India,2023-07-05,5,en,valu money,0,2023-07,2023
India,2023-04-16,5,en,game gtx 1650gta V ultra avg 90fpspubg ultra avg 120+fp,0,2023-04,2023
India,2022-09-08,5,en,excel budget gaze processor... valu moneyth stock cooper waste.. letter get one extern cooper coolermast corsair deepcool,1,2022-09,2022
United Kingdom,2024-05-22,5,en,ought new build doing. perform great price run cool use stock cooper came with.to hesit recommend qualiti perform vers price,1,2024-05,2024
Australia,2022-10-12,5,en,well snuff said works. 5 star sir,0,2022-10,2022
United Kingdom,2023-04-26,5,en,"game like keep reason date inter cup fit bill me. fast work well motherboard. reason price does, cooper provid ok need well get bit noisi cup remain high % time. overal happi processor.",1,2023-04,2023
Germany,2024-06-08,5,en,use cup first ever pp build pare 3050 go eagl edit work togeth great,1,2024-06,2024
United Kingdom,2024-05-12,5,en,realli like deliv care time. import part. time deliv less day. like qualiti say best 7.5 / 10 hope came cooper money cut aunt keep didnt left spent 100 quid that. hope,1,2024-05,2024
United Kingdom,2023-12-13,5,en,"go top end 1080p build review Id read, 12400f seem like best option. easi instal. cool fan although chose use bigger air cooper.",1,2023-12,2023
Spain,2023-07-22,4,en,top,1,2023-07,2023
United Kingdom,2023-01-23,4,en,10/10 money. stock cooper problem get loud normal temp 55-70.it sound like engin,1,2023-01,2023
France,2023-01-23,4,en,ra,0,2023-01,2023
Germany,2024-05-25,5,en,top processor accept price,1,2024-05,2024
United States,2024-07-11,5,en,"far good, feel differ compar old 7700 processor bottleneck rtx360ti video card.",1,2024-07,2024
Sweden,2024-04-10,5,en,"twitch th gen (6600k) 12400f, feel signific improvement. especi daili task game work perfectly. got dark 6000mhz clay ram well, work without problem. combin 4060 ti, consum littl power get everyth need done far.i got noctua cooper though, work realli quiet cool. perfect price. 500sek cheaper version integr graphics, low profil pu case want simpl daili offic use.",1,2024-04,2024
Australia,2023-08-25,5,en,"price, performance, gazing?hi cpu beyond amazing, see price holi holi poorhous unbeliev price.",1,2023-08,2023
